zouave zuavog
roman romag
roll-book registrolibrog
roll rulig
roguish friponag
rogue friponog
roebuck kapreolog
rocky ŝtonegplenag
rock-oil petrolog
rocket raketog
rocking luladog
rock ŝtonegog
robustness fortikecog
robust fortikag
robing-room vestejo
robe robog
robe vesti
robbery rabadog
robber ŝtelisto
rob ŝteli
roast rostig
roam vagig
roadstead rodog
road-labourer stratlaboristog
road vojo
roach plotog
rivulet riveretog
river riverog
rivalry konkuro—ecog
rival konkurantog
rival konkurig
rite ceremoniarog
risk riskig
risibility ridindecog
risible ridindag
ripple ondetog
ripe maturag
rip ŝirig
riotous tumulta
riot tumulto
rinse laveti
ringworm favog
ringlet buklo
ringleader instigulo
ring ringog
rind ŝelo
rime prujnog
rim randog
rill riveretog
rigorous severa
rigour severecog
rigidly severeg
rigidity rigidecog
rigid rigida
rightly rajte
rightful rajtag
righteous justa
right dekstrag
rigging ŝnurarmilarog
rig ŝnurarmig
rift fendog
rifle pafilog
rife ĝeneralag
riding-school rajdejog
riding-master ĉevalestro
ridiculous ridindag
ridicule mokig
ridge supro
ride rajdig
riddle enigmo
rid malembarasi
riches riĉecog
rich riĉag
rice rizog
ribbon rubandog
ribaldry diboĉo—aĵog
ribald malĉasta
rib ripog
rhythm ritmog
rhyme rimig
rhubarb rabarbog
rhombus rombog
rhomb rombog
rhinoceros rinocerog
rheumatism reŭmatismog
rheumatic reŭmatismag
rhetorical elokventa
rhetoric parolarto
rhapsody rapsodiog
rhapsodist rapsodiistog
reward premio
revulsion antipatiog
revolve turniĝi
revolution revoluciog
revolt ribelog
revoke nuligig
revocation nuligog
revocable nuligeblag
revive revivigig
revival revivigog
revise korekti
revile mallaŭdegig
revert revenig
reverse renversig
reverie revadog
reverence respektegig
revere respektegig
revenue rento
revenge revenĝog
revel festenegog
reveal malkaŝig
re-unite rekunigig
reunion rekunigog
retrospective retrospektivag
retrospect retrospektog
retrograde malprogresig
retrieve trovi
retribution repagog
retreat foriri
retract malkonfesig
retrace reveni
retort respondi
retirement kvietecog
retire reenirig
retinue sekvantarog
retina retinog
retentive persista
retardation prokrasto
retard prokrasti
retaliation revenĝog
retaliate revenĝig
retainer vasalog
retain gardi
retailer revendistog
resurrection revivigo—iĝog
result sekvo
result rezultig
restrict malvastigi
restrain haltigi
restore refari
restorative fortigilo
restoration redoneco
restitution redonadog
restaurant restoraciog
resuscitate revivigig
responsibility respondecog
responsible respondag
response respondog
respond respondig
respire spirig
respiration spiradog
respirable spireblag
respectful respektag
respectable respektindag
respect respektog
respect respektig
resource rimedog
resound resonig
resort kunvenejog
resonant resonag
resolve decidig
resolution decidecog
resolute decidag
resist kontraŭbatali
resinous rezinag
resin-wood kenog
resin rezino
resignation rezignaciog
resign eksiĝig
residue restaĵog
resident loĝantog
residence loĝejo
reside loĝi
reservoir akvujo
reserve rezervig
resentment kolerog
resent sentegig
resemble similig
resemblance similecog
research esploro
rescue savig
rescind eksigi
requite rekompencig
requisition rekviziciog
requisite necesa
requirement postulo
require postuli
request petig
reputation famo
reputable estimebla
repulsive malbelegag
repulse repuŝi
repugnant antipatiag
repugnance antipatio—ecog
repudiate neig
republican respublikanog
republic respublikog
reptile rampaĵog
reprove malaprobi
reproof riproĉog
reproduction kopiaĵo
reproduce reproduktig
reprobate malaprobi
reproachful riproĉag
reproach riproĉog
reprisals revenĝog
reprimand riproĉo
reprimand riproĉi
reprieve pardonig
repressive subpremag
repression subpremo—adog
repress haltigi
representative reprezentantog
representation reprezentadog
represent reprezentig
reprehensible riproĉindag
reprehend riproĉig
repository tenejog
repose ripozig
repose ripozog
report famo
report raportig
reply respondig
repletion pleneco
replete plena
replenish replenigig
replant replantig
replace anstataŭig
repine plendi
repiece flikig
repetition ripetadog
repentance pento—adog
repent pentig
repel repeli
repeat ripetig
repealable nuligeblag
repeal nuligig
repay repagig
repast manĝadog
repartee respondaĵog
reparation riparog
repair riparig
renunciation forlaso
rent disŝiro
renown famog
renovation renovigog
renovate renovigig
renounce forlasi
renewable renovigeblag
renewal renovigog
renew renovigig
rending disŝirog
rendezvous kunvenejog
render redonig
rend disŝirig
remunerative gajniga
remunerate rekompencig
remove transloki
remotely malproksimeg
remote malproksimag
remorse memriproĉog
remonstrate averti
remonstrance averto
remodel reformig
remnant restaĵog
remit remeti
remission remeto
remiss senzorgag
reminder memorigog
remind memorigig
remember memorig
remedy rimedog
remarkable rimarkindag
remark rimarkig
remand reenmetig
remake refarig
remain restig
rely konfidig
reluctant malbonvola—ontag
reluctance malbonvolo—ontog
relish ĝui
relinquish forlasig
religious religiag
religion religiog
relieve helpig
relic memorigog
reliance konfidog
reliable konfidindag
relent dolĉiĝi
relegate apartigig
release liberigig
relax malpliigig
relationship parencecog
relate rakontig
relapse refalog
rekindle rebruligig
rejuvenate plijunigig
rejoinder respondog
rejoin rekunigig
rejoice ĝojig
rejection rifuzog
reject rifuzig
reiterate ripeti
reinstate reenmeti—igig
reinforce plifortigig
rein kondukilog
reimburse repagig
reign regig
rehearse ripetig
regulation regulog
regulate reguligig
regular regulag
regrettable bedaŭrindag
regret bedaŭrig
registration registradog
registrar registristog
register registrig
region regionog
regiment regimentog
regicide reĝmortigintog
regent regantog
regeneration renaskog
regenerate refari
regency regecog
regatta ŝipkuradog
regarding prig
regale regalig
regal reĝag
regain rericevig
refute refutig
refutation refutog
refuse rifuzig
refusal rifuzog
refund repagi
refreshment-room bufedo
refresh refreŝigig
refractory ribelag
reformatory reformejo
reformation reformo
reform reformi
refold refaldig
reflux forfluog
reflector rebrililog
refinery rafinejog
refiner rafinistog
refine rafinig
refectory manĝejog
refection manĝetog
re-establish reigig
re-enter reenirig
reed kanog
redundant sufiĉegag
redundance sufiĉegog
reduce malpliigig
redoubtable timindag
redouble duobligig
redness ruĝecog
redemption elaĉetog
redeemer elaĉetintog
redeem reaĉeti
reddish duberuĝag
redden ruĝigi—iĝig
redbreast ruĝgorĝog
red ruĝag
recurrence reokazog
recur reokazig
recumbent kuŝag
rector pastro
rectitude rekteco
rectangle rektangulog
recruiting varbo—adog
recruit varbito
recruit varbig
recrimination kontraŭdiradog
recriminate kontraŭdiradig
recreation ludtempog
recreate rekreig
recreant timulog
record registri
recopy rekopiig
reconsider rekonsiderig
reconciliation pacigog
reconcile pacigig
recompense rekompencig
recommendation rekomendog
recommend rekomendig
recollect memorig
recognize rekonig
recognition rekonog
recluse ermitog
recline kuŝi
reclaim redemandig
reckoning kalkulog
reckon kalkulig
reckless senzorgag
recite deklamig
recitation deklamo—adog
recital rakontog
reciprocity reciprokecog
reciprocal reciprokag
reception ricevog
recent novag
receive ricevig
receipts enspezojg
receipt kvitancog
recede malproksimiĝig
recapitulate resumi
recant malkonfesig
rebut refutig
rebuke riproĉog
rebuff malprosperog
rebound resaltig
rebellious ribelag
rebellion ribelo—adog
rebel ribelig
rebel ribelantog
rebate—ment rabatog
reasoning rezonadog
reasonable rezonag
reason rezonig
rear-guard postgvardiog
reap rikoltig
re-assure rekuraĝigig
re-ascend resuprenirig
re-arrange rearanĝig
re-animate revivigig
realm reĝolando
really vere
reality realecog
real vera
ready pretag
reading legadog
readily volonteg
reader legantog
read legig
react kontraŭbatali—agig
razor razilog
ravine intermontaĵog
ravenous englutemag
raven korvog
ravel maltordig
raucous raŭkag
rattlesnake sonserpentog
rationalist racionalistog
rationalism racionalismog
rational racionalag
ration porciog
ratio proporciog
ratify aprobig
rather plivoleg
rate procentog
rat ratog
raspberry frambog
rasp raspig
rashness hazardecog
rash hazardag
rase disĵetig
rascal kanajlog
rarity maloftecog
rareness maloftecog
rarely malofteg
rare antikvag
rapture ravo
rapt rava
rapine rabog
rapier rapirog
rapidly rapideg
rapidity rapidecog
rapid rapidag
rape forrabog
rapacity rabemecog
rapacious rabemag
rap frapo
rap frapetig
ranunculus ranunkolog
ransom reaĉetig
ransom reaĉetog
rancour malamecog
rancid rancag
rampart remparo
ramble vagig
ram ŝafovirog
rake rastig
raisin sekvinberog
raise levi
rainbow ĉielarkog
rain pluvog
raiment vestaĵog
railway fervojog
railroad fervojog
raillery mokadog
ragout spicaĵog
ragged ĉifonag
rage koleregog
ragamuffin bubog
rag-picker ĉifonistog
rag ĉifonog
rafter tegmenttrabog
raft flosog
raffle ludlotog
radius radiog
radish rafanetog
radicalism radikalismog
radical radikalog
radiate radii—igig
radiant radilumag
racy spritag
racecourse hipodromog
raccoon procionog
rabies rabiog
rabid rabiag
rabble kanajlarog
rabbit kuniklog
quotient dividrezultatog
quoth diras
quote citig
quotation citog
quota parto
quorum kvorumog
quoit disko
quoin kojnog
quiver sagujog
quittance kvitancog
quite tuteg
quit kvitag
quit lasig
quip sarkasmog
quintal centfuntog
quilt litkovrilog
quill plumog
quietude trankvilecog
quiet kvietigig
quiet kvietag
quiescence ripozo
quicksilver hidrargog
quicken rapidigig
quicken vivigig
quibble ĉikanig
questionable dubag
question demandig
question demandog
quest informiĝog
quest serĉog
query ĉu?
query demandog
querulous malkontentag
quell trankviligig
queer strangag
queen reĝinog
quay surbordo
quaver trilog
quartz kvarcog
quartet kvartetog
quartern kvarono
quarterly trimonatag
quarry ŝtonejog
quarrel malpacig
quarrel malpacog
quantity kvantog
quandary embarasog
qualm konscidubog
quality eco
qualify kvalitigi
qualification eco
quake tremi—egig
quaint strangag
quail tremig
quagmire marĉejog
quaggy marĉag
quaff glutegig
quadruple kvaroblag
quadruped kvarpiedag
quadrille kvadrilog
quadrature kvadratog
quadratic kvadratag
quadrate kvadratag
quadrate kvadratog
quadrant kvadrantog
quadrangle kvarangulaĵog
quackery ĉarlatanismog
quack ĉarlatanog
python serpentego
pyramid piramidog
puzzle enigmog
putty mastikog
putrify putrigig
putrescence putro—ecog
putrefaction putraĵog
put metig
pustule pustulog
pusillanimous timemag
push puŝig
pus puso—aĵog
purveyor liverantog
pursue forpeladi
purse monujog
purr bleketi
purpose celi
purple purpurag
purloin ŝtelig
purity purecog
puritan puritanog
purify purigig
purge laksigig
purgatory purgatoriog
purgative laksilo
purée pistaĵog
purchase aĉetig
puppy hundidog
puppet pupo
puny malgranda
punishment puno—adog
punish punig
pungent pika
puncture trapikig
punctuation interpunkciog
punctuate interpunkciig
punctuality akuratecog
punctual ĝustatempa
punctilious precizemag
pumpkin kukurbog
pumice-stone pumikog
pump pumpilog
pump pumpig
pulverize pulvorigig
pulse pulsog
pulsation pulsbatadog
pulpit tribuno
pulp molaĵog
pulmonary pulmag
pulley rulblokog
pullet kokidinog
pull tirig
pug-dog mopsetog
puff blovig
puerile infanag
publish publikigi
publicity publikigo
public-house drinkejog
publican drinkejmastrog
public publikag
puberty viriĝog
psychology psikologiog
pseudonym pseŭdonomog
psalter psalmarog
psalmody psalmokantadog
psalm psalmog
pry serĉi
prune ĉirkaŭhakig
prudent singardema
prudence singardemog
proxy anstataŭulog
proximity proksimeco
proximate proksima
prowl vagig
prowess valoreco
provoke incitegig
provocation incitego—adog
provisional provizorag
provision provizaĵo
provincial provincanog
province provincog
provident zorgema
providence antaŭzorgo
provide provizig
proverb proverbog
provender bestnutraĵog
prove pruvi
proud fiera
protuberance ŝvelaĵog
protrude elstarig
protocol protokolog
protestant protestantog
protestation protestadog
protest protestig
protégé protektatog
protectorate protektoratog
protector protektanto
protection protektog
protect protektig
prosy tedag
prosperous prosperag
prosperity prosperecog
prosper prosperig
prospectus prospektog
prospective antaŭvida
prospect vidaĵog
proselyte prozelitog
prosecute persekutig
prose prozo
proscribe ekzilig
prosaic prozag
prorogue prokrastig
propriety konvenecog
proprietor posedantog
proposition proponog
propose proponig
proposal proponog
proportional proporciag
propitious favorag
propitiate favorigi
propinquity proksimecog
prophet profetog
prophesy profetaĵig
prophecy profetaĵog
property propreco
proper konvenag
propensity emo
propagate propagandig
propagandism propagandismog
propaganda propagandog
prop subtenaĵo
proof pruvo
pronunciation elparoladog
pronounce elparolig
pronoun pronomog
pronominal pronomag
prong forkegog
proneness emo
promulgation publikigado
promulgate publikigig
promptly rapide
promptitude rapidecog
prompter memorigistog
promoter iniciatorog
promontory promontorog
promise promesig
promiscuous miksa
prominent eminenta
promenade promenig
prolong plilongigig
prologue antaŭskribaĵo
prolix trolongag
prolific multinfana
proletarian proletaria
projectile ĵetaĵo
project projektog
prohibition malpermesog
prohibit malpermesig
progression progresadog
progress progresog
programme programog
prognostic antaŭsignog
progeny ido
profuse sufiĉega
profundity profundecog
profligate diboĉulog
profitable profitag
profit profito
profile profilog
proficient kompetentag
proffer proponi
professor profesorog
profess anonci
profanity malpiecog
profane malpiag
profanation malpiegaĵog
proem antaŭdramo
productive fruktoportag
production produktog
product produktaĵog
produce produktaĵog
produce produktig
prodigy miregindaĵog
prodigious miregindag
prodigality malŝparemog
prodigal malŝparag
procuration konfidatistog
procure havigig
procrastinate prokrastig
proclaim proklamig
process procedo
procession procesiog
proceeding procedog
proceed procedig
proboscis rostrog
problem problemog
probity honestecog
probe sondi
probationer novicog
probation provtempog
probability kredebleco
probable kredinda—eblag
prize ŝatig
prize premiog
privily sekreteg
privilege privilegiog
privation senigog
privateer marrabistog
private privatag
prisoner malliberulog
prison malliberejog
prism prismog
priority antaŭecog
prior antaŭag
printing-press presilog
printer presisto
print presig
principle principog
principality princlandog
principal precipag
principal estro
prince reĝido
primrose primolog
primitive primitiva
primeval primitivag
primary elementa
prim afekta
priesthood pastrecog
priest pastrog
pride malhumileco
prickly pikag
prick pikilog
prick pikig
price—current prezarog
price prezo
prey kaptaĵog
previous antaŭag
prevent malhelpi
prevaricate malveriĝig
prevalent ĝenerala
prevail superig
pretty beletag
pretext pretekstog
preternatural supernatura
pretentious afektemag
pretend pretekstig
pretence pretekstog
presumptuous tromemfidag
presumption tromemfideco
presume supozig
presumably supozebleg
pressure premo—adog
press-gang varbigistarog
president prezidantog
preside prezidig
preservative antaŭgardo—adog
preservation antaŭzorgog
preserve antaŭgardig
presently tujg
presentiment antaŭsentog
presentative donaco
present prezentig
presence apudesto
prescribe ordonig
presbytery pastrejog
presbyter pastrog
presage antaŭsignog
preposition prepoziciog
preponderance superregog
prepay antaŭpagi
preparation preparo—adog
prepare prepari
pre-occupation priokupadog
premonitory antaŭsciigag
premises propreco—aĵog
premier ĉefa
premeditation pripensadog
premeditate pripensig
premature antaŭtempag
prelude antaŭludaĵog
preliminary antaŭafero
prelate episkopo
prejudicial malutilag
prejudge antaŭjuĝig
prejudice antaŭjuĝog
prehistoric pratempag
prehension prenog
pregnant gravedag
pregnancy gravedecog
prefix prefiksog
preference preferog
preferably prefereg
preferable preferindag
prefer preferig
prefect prefektog
preface antaŭparolog
predominate superregig
predisposition inklinog
prediction antaŭdirog
predict antaŭdiri
predetermination antaŭdecidog
predestination sortdifinog
predecessor antaŭulog
predatory rabadegag
precursor antaŭulog
precocity frumaturo—ecog
precocious frumaturag
preclude eksigi
precision precizeco
precisely ĝusteg
precise precizag
precipitation trorapidecog
precipitate trorapidag
precipitancy trorapidecog
precipice krutegaĵog
precious multekostag
precinct limog
preceptor guvernistog
precept ordonog
precentor kantorog
precedent antaŭaĵog
precedence antaŭecog
precede antaŭirig
precaution antaŭzorgo
precarious duba
prebendary kanonikog
preamble antaŭparolog
preaching predikadog
preacher predikistog
preach predikig
prayer-book preĝlibrog
prayer preĝog
prattle babilig
prate babilig
prank petoleco—aĵog
praise laŭdig
prairie herbejog
practise praktikig
practice praktiko
practical praktikag
powerless senpotencag
powerful multepovag
power povo
powder pulvro
poverty malriĉecog
pout koleretig
poultry-yard kortbirdejog
poultry kortbirdarog
poultice kataplasmog
pouch saketog
potter potistog
potential potencebla
potent potencag
potency potencog
potato terpomog
potash potasog
pot potog
posture teniĝog
postulate petadog
postscript postskribaĵog
postillion kondukistog
posterity idaro
posterior posta
poste-restante poŝtrestanteg
postman poŝtisto
postcard poŝtkartog
postal poŝtag
possibly ebleg
possibility eblecog
possible eblag
possessor posedantog
possessive posedag
possess posedig
positive pozitivag
position situaciog
portrait portretog
portmanteau valizo
portion porcio
portfolio paperujog
porter portistog
portend antaŭsciigig
portable porteblag
porpoise foksenog
porphyry porfirog
porous truetag
pork porkaĵog
pore truetog
porcupine histrikog
porch vestiblog
porcelain porcelanog
populous popolag
population loĝantarog
popular popularag
populace popolo—amasog
poppy-coloured puncag
poppy papavog
poplar poplo—arbog
pope papog
poor malriĉag
pool marĉlagetog
poodle pudelog
pony ĉevaletog
pontoon boatopontog
pontiff ĉefpastrog
poniard ponardog
ponderous multepezag
ponder pripensi
pond lagetog
pompous pompag
pomegranate pomgranatog
pomatum pomadog
pomade pomadog
polytechnic politekniko
polypus polipog
polyp polipog
polygon multangulog
poltroonery timeco—egecog
poltroon timulo—egulog
pollute malpurigig
pollen florsemog
politics politikog
politician politikistog
political politikag
politic saĝag
polite ĝentilag
polish polurig
policeman policanog
police policog
polemic disputo
polecat putorog
polar polusag
poker fajrincitilog
poisonous venenag
poison venenog
poise balanci
point punktog
poignant doloregag
poetry poezio
poetize versig
poet poetog
poesy poeziog
poem poemog
pod ŝelog
pocket poŝog
poacher ĉasoŝtelistog
poach ĉasoŝtelig
plush pluŝog
plural multenombrog
plunge subakviĝig
plunder rabadig
plumpness dikecog
plump dikag
plummet sondilog
plume plumfaskog
plumber plumbistog
plumbago grafitog
plumage plumaro
plum prunog
plug ŝtopilegog
ploughshare plugferog
plough plugilog
plough plugig
plot konspiri
pliers prenilo—etog
pliantness flekseblecog
pliant flekseblag
pliable flekseblag
pleonasm pleonasmog
plenteous sufiĉegag
plenitude plenecog
pledge garantiaĵog
plebeian malnobelog
please plaĉig
pleasant plaĉag
plead procesi
playtime ludtempog
plaything ludilog
playful petolag
player ludantog
plausible verŝajna
plaudit aplaŭdegog
platter pladegog
platitude platecog
platinum platenog
platform plataĵo
plateau plataĵog
plate telerog
plate stanumig
plastron brustoŝirmilog
plaster plastro
plantation plantejog
plant kreskaĵog
plant plantig
plank tabulog
planet planedog
plane rabotig
plan planog
plait plektaĵog
plait plektig
plaintive plendag
plaint plendog
plainness simplecog
plainly simple
plain senornamag
plain malbelag
plague pesto—egog
plagiarist verkoŝtelistog
placid kvietag
place lokog
placard afiŝo
placable kvietebla
pivot aksog
pity kompati
pitiless senkompatag
pitiful kompatindag
pitiable kompatindag
pith sukog
pitfall enfalujog
piteous kompatindag
pitchfork forkegog
pitcher kruĉog
pitch peĉog
piston piŝtog
pistol pafiletog
piscina naĝejog
pirate marrabistog
piracy marrabo—adog
pique ofendig
piquant pikag
piquancy pikecog
pious piag
pioneer pionirog
pinnacle pinto
pineapple ananasog
pining sopirantag
pinch pinĉig
pincers prenilog
pince-nez nazumog
pin pinglog
pimple aknog
pilot piloto
pillow-case kusentegog
pillow kapkusenog
pillory punejog
pillar kolonog
pillage rabegi—adog
pill pilolog
pilgrimage pilgrimo—adog
pilgrim pilgrimantog
pilferer ŝtelistog
pilfer ŝteletig
piles hemorojdog
pigmy pigmeog
pigeon-house kolombejog
pigeon kolombog
pig porkog
piety piecog
pierce trabori
piece pecog
piebald multkolorag
pie pasteĉog
picturesque pentrindag
picture pentraĵog
pictorial ilustritag
picnic kampfestenog
pickpocket friponog
pickaxe pikfosilog
piaster piastrog
piano fortepianog
physiology fiziologiog
physiognomy fizionomiog
physics naturscienco
physician fizikisto
physical fizikag
physic kuracilog
phthisical ftizag
phthisis ftizog
phraseology frazeologiog
phrase frazerog
photography fotografartog
photographer fotografistog
photograph fotografaĵog
phosphorus fosforog
phonograph fonografog
phonetic fonetikag
phoenix feniksog
phlegmatic flegmag
phlegm flegmo
philosophy filozofiog
philosophise filozofiig
philosopher filozofog
philology filologiog
philologist filologiistog
philately filatelog
philatelist filatelistog
philatelic filatelag
philanthropy filantropecog
philanthropist filantropog
phial boteletog
phenomenon fenomenog
pheasantry fazanejog
pheasant fazanog
phase fazog
pharynx faringog
pharos lumturog
pharmacist farmaciistog
phantom apero
pewter stanog
pew preĝbenkog
petulant petolag
petulance petolecog
petty malgrandag
pettish malĝentilag
petticoat subjupog
petroleum petrolog
petrify ŝtonigig
petition petskribog
petition petegig
petard petardog
petal florfolietog
pet dorlotig
pestle pistilog
pestilential pesta
pestilence pestog
pestiferous pestag
pester enui
pest pestog
pervious penetreblag
perversion malkonverto
pervert malkonverti
perverse obstina
pervade penetrig
peruse legadi
perusal legadog
peruke perukog
perturbation turmentadog
perturb konfuzi
pertinacity obstineco
pertinacious trudpetag
pert malrespektag
persuasive konvinkag
persuade konvinkig
perspire ŝvitig
perspiration ŝvitog
perspicacity sagacecog
perspicuous sagacag
perspective perspektivog
personification personiĝog
personate personiĝi
personate reprezentig
personality personecog
personal personag
personage personog
person personog
persistency persistecog
persistent persistag
persistance persisto—adog
persist persistig
persevere persistig
perseverance persistog
persecution persekutadog
persecute persekutig
perruquier perukistog
perron peronog
perplexity konfuzeco
perplex konfuzi
perpetuate daŭrigig
perpetual eternag
perpetrate elfarig
perpendicular perpendikularag
pernicious pereigag
permutation interŝanĝog
permit permesig
permissive permesag
permission permesog
permeable penetreblag
permanent konstanta
perjury ĵurrompog
periwig perukog
peritoneum peritoneog
peristyle peristilog
perishable pereemag
perish pereig
periphery ĉirkaŭo
periphrase ĉirkaŭfrazog
periodicity periodecog
periodic—al periodag
period periodog
perimeter perimetro
peril danĝerog
perigee perigeog
perhaps ebleg
perfumer parfumistog
perfume parfumo
perfume parfumig
performer farantog
perforate trabori
perfidy perfido
perfidious perfidag
perfection perfektecog
perfect perfektag
perfect perfektigig
perennial persistag
peremptory absolutag
perdition ruinego
percolate tragutig
perception sentog
perceptible palpebla
percentage procentog
perceive sentig
perambulator infanveturilog
perambulate promeni
peradventure eble
pepper-caster piprujog
pepper-box piprujog
pepper piprog
peopled homhavag
people popolo
peony peoniog
penury malriĉecog
penurious avarag
penultimate antaŭlastag
pentecost pentekostog
pentagon kvinangulog
pensive pensa
pensioner pensiulog
pension pensiog
penniless senmonag
penny pencog
pennant flagetog
penknife tranĉiletog
penitentiary pentfarejog
penitent pentag
penitence pentog
peninsula duoninsulog
penholder plumingog
penetrable penetreblag
penetrate penetrig
pendulum pendolog
pendant pendaĵog
penchant inklino—emog
penance punog
penalty puno
penal punag
pen-name pseŭdonomog
pen plumog
pelt felog
pellucid diafanag
pell-mell intermiksita
pellicle membranetog
pellet kugleto
pelisse peltog
pelican pelikanog
pelf monog
pelerine manteletog
peg ŝtopiletog
peevishness malafablecog
peevish malafabla
peerless senegala
peerage nobelarog
peer esplori
peer nobelog
peep rigardetig
peel senŝeligig
pediment fruntaĵog
pedigree deveno
pedestrian piedirantog
pedestal piedestalog
peddle kolportig
peddler kolportistog
pedant pedantog
pedal pedalog
pedagogy pedagogiog
pedagogue pedagogog
pecuniary monag
peculiar strangag
peccadillo peketog
pebble marŝtono
peat torfog
peasant vilaĝano
pearl perlog
pear-tree pirarbog
pear pirog
peak pinto
peacock pavog
peach persikog
peacefully paceg
peaceful pacemag
peaceably paceg
peaceable pacemag
peace pacog
pea pizog
payable pageblag
pay pagig
pawn-office pruntoficejog
pawnbroker's pruntoficejog
pawnbroker pruntistog
pawn garantiaĵog
paw piedegog
pavilion tendo
paving-stone pavimerog
pavement pavimog
pave pavimig
pause paŭzog
pauper malriĉulo
paunch ventrog
pattern patrono
patter gutetig
patronize favori
patronage protektog
patron proktektanto
patrol patrolog
patriotism patriotismog
patriot patriotog
patriarch patriarkog
patient paciencag
patience paciencog
pathos patosog
pathology patologiog
pathetic kortuŝantag
path vojo
paternity patrecog
paternal patrag
patentee patentitog
patent patentog
patella genuostog
patchwork flikaĵog
patch flikig
pat frapetig
pasturage paŝtaĵo
pasture herbejo
pastry-shop kukejog
pastry pastecog
pastoral kampag
pastor pastrog
pastime amuzaĵog
pastille pastelog
pastel paŝtelog
pasteboard kartonog
paste pastog
past estintecog
past estintag
password signaldirog
passport pasportog
passive pasivag
passionate pasia
passion kolera
passion manio
passer-by pasantog
passenger vojaĝantog
passage trairejog
passable nebonag
parvenu elsaltulog
party partiog
partridge perdrikog
partner partoprenanto
partly parteg
partition divido
partition dividig
partisan partianog
particular specialag
particle pecero
participle participog
participate partoprenig
participant partoprenantog
partiality partiecog
partial partiag
parterre florbedog
partake partoprenig
part parto
parson pastrog
parsnip pastinakog
parsley petroselog
parsimony parcimoniog
parrot papagog
parroquet papagetog
parricide patromortigintog
paroxysm frenezo
parody parodiog
parochial paroĥag
parlour parolejog
parliamentary parlamentag
parley paroladig
park parkog
parity egalecog
parish-priest paroĥestrog
parishioner paroĥanog
parish paroĥog
paring ŝelo—aĵog
parental gepatrag
parentage naskiĝo
parents gepatrojg
parenthesis parentezog
pare ŝelig
pardonable pardoneblag
pardon pardonog
pardon pardoni
parchment pergamenog
parch sekigig
parcels-office pakaĵejog
parcel pako
parboil duonbolig
parasol sunombrelog
parasitic parazitag
parasite parazitog
paraphrase parafrazog
parapet randmurog
paramour kromviro—inog
paramount superegag
paralytic paralizito—ulog
paralysis paralizo—adog
paralyze paralizig
parallel paralelag
paragraph paragrafog
paragon perfektmodelo
paradox paradoksog
paradise paradizog
parade vidaĵo
parade paradig
parabola parabolog
parable komparaĵog
papyrus papirusog
paper-shop ĵurnalvendejog
paper-mill paperfarejog
paper-manufactory paperfarejog
paper-maker paperistog
paper-hanger paperkovristo
paper paperog
papal papag
papa patreto
pap kaĉog
pantry manĝaĵejog
pantomime pantomimog
panther panterog
pantheist panteistog
pantheism panteismog
pantaloons pantalonog
pant spiregig
pansy violog
pannier korbegog
panic terurog
pang dolorog
panel enkadraĵog
panegyrist laŭdegistog
panegyric laŭdadog
pane vitraĵog
pan tervazog
pamphlet pamfletog
pamper dorlotig
paltry trivialag
palsy paralizetog
palpitation korbato—adog
palpitate korbati
palpable palpeblag
palm-tree palmarbog
palm palmobranĉog
pallet paletrog
pallid palegag
pall ĉerkokovrilog
pall supersatig
palisade palisaro—aĵog
paling palisaro—aĵog
paletot paltog
paleontology paleontologiog
paleography paleografiog
paleness palecog
pale palag
palatable bongustag
palate palatog
palanquin palankenog
palace palacog
pair parog
pair kunigig
painting pentradog
paint kolorilo
paint pentri
painless sendolorag
painful dolorag
pain dolorig
pail sitelog
pagoda pagodog
pageant vidaĵo
page paĝog
page-boy paĝio
pagan idolanog
paddock kampetog
padding vato—aĵog
pad vatig
pack-saddle ŝarĝselog
packet-boat kurierŝipog
packet pako—aĵog
packer pakistog
package pakado
pack pakig
pachydermatous dikhaŭtag
pacify trankviligi
pacification pacigog
pacifically pace
pacific pacemag
pace paŝig
pa patreto
oyster ostrog
oxygen oksigenog
oxide oksidog
ox bovog
own proprag
owl strigo
owe ŝuldig
overwhelm premegig
overweening tromemfidag
overturn renversig
overthrow renversig
overtake atingig
overstep transpaŝig
overseer observisto
overrun enpenetrig
overpower venki
overplus preteraĵo
overlook malatenti
overhead supreg
overflow superfluig
overcome venkig
overcoat supervestog
overcharge supertaksog
overcast malklara
overbearing aŭtokrata
overall surtutog
oven fornog
ovation laŭdadog
ovary ovujog
oval ovalag
outside ekstereg
outskirts ĉirkaŭaĵog
outset komencog
outright tuteg
outrage perfortog
outrage insultegi
outpost antaŭpostenog
outlive postvivig
outline skizo
outlet elirog
outlay elspezog
outlaw elpelitog
outlaw forpelig
outfit vestarog
outermost plejeksterag
outer eksterag
outcome elvenog
outcast ekzilo
outbid plioferi
oust forpelig
ounce uncog
otter lutrog
otherwise alie
other aliag
ostrich strutog
ostracism ostracismog
ostentatious trudpompag
ostentation fanfaronado
ostensible videblag
ossify ostiĝig
osier salikog
oscillate vibri
ortolan hortulanog
orthography ortografiog
orthodox ortodoksag
orphanage orfejog
orphan orfo—inog
ornithology ornitologiog
ornamentation ornamaĵog
ornament ornamig
ornament ornamog
originate devenigi—iĝig
original originalag
origin devenog
orifice truo
oriental orientag
orient orientog
organization organizog
organize organizig
organism organismog
organic organag
organ organog
